geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
NUPR1	NA	-0.375859	1.35316	2.61312	-0.180352	-1.55603	-0.723692
CSTF2T	0.523037893678878	0.123111	-0.411904	-1.01985	0.0255894	-0.0962734	-0.429277
SLITRK6	NA	-0.0321274	-0.00973087	3.09657	0.706189	1.21362	0.498211
UBALD2	0.755562452406686	-0.211384	0.2107	2.90554	0.212659	-0.953674	0.121278
KRT14	NA	-0.0505233	0.448986	-1.02629	0.279773	0.519845	0.0315684
ZNF490	0.171812319342976	-0.662642	0.487603	3.0441	-0.290819	-0.601955	0.378629
C15orf62	NA	1.33736	1.24368	3.82171	-0.250742	1.21362	1.49821
RNFT1	0.921360996645885	-0.378849	-0.0319569	-1.02629	0.0612022	-0.703917	0.69615
PCDH18	NA	0.337358	1.24368	6.30283	0.164296	0.476655	1.59132
YTHDF2	0.395995901259116	0.0913607	-0.166218	-1.01654	0.137126	-0.506762	0.0970057
MT-ND6	0.236233198198638	-0.260183	-0.147075	-1.03387	0.563471	-0.328821	0.782984
TOP1	0.478315409177108	-0.057572	-0.402214	-1.02109	-0.000338941	-0.024071	0.376549
